source,record_key,doi,first_author,year,title,abstract,url,query
openalex,bird2002,10.1101/gad.947102,Bird,2002,DNA methylation patterns and epigenetic memory,"The character of a cell is defined by its constituent proteins, which are the result of specific patterns of gene expression. Crucial determinants of gene expression patterns are DNA-binding transcription factors that choose genes for transcriptional activation or repression by recognizing the sequence of DNA bases in their promoter regions. Interaction of these factors with their cognate sequences triggers a chain of events, often involving changes in the structure of chromatin, that leads to the assembly of an active transcription complex (e.g., Cosma et al. 1999). But the types of transcription factors present in a cell are not alone sufficient to define its spectrum of gene activity, as the transcriptional potential of a genome can become restricted in a stable manner during development. The constraints imposed by developmental history probably account for the very low efficiency of cloning animals from the nuclei of differentiated cells (Rideout et al. 2001; Wakayama and Yanagimachi 2001). A “transcription factors only” model would predict that the gene expression pattern of a differentiated nucleus would be completely reversible upon exposure to a new spectrum of factors. Alt",https://doi.org/10.1101/gad.947102,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,orr2005,10.1038/nature04095,Orr,2005,Anthropogenic ocean acidification over the twenty-first century and its impact on calcifying organisms,,https://doi.org/10.1038/nature04095,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,beck2001,10.1641/0006-3568(2001)051[0633:ticamo]2.0.co;2,Beck,2001,"The Identification, Conservation, and Management of Estuarine and Marine Nurseries for Fish and Invertebrates","Nearshore estuarine and marine ecosystems—e.g., seagrass meadows, marshes, and mangrove forests—serve many important functions in coastal waters. Most notably, they have extremely high primary and secondary productivity and support a great abundance and diversity of fish and invertebrates. Because of their effects on the diversity and productivity of macrofauna, these estuarine and marine ecosystems are often referred to as nurseries in numerous papers, textbooks, and government-sponsored reports (Boesch and Turner 1984, NRC 1995, Butler and Jernakoff 1999). Indeed, the role of these nearshore ecosystems as nurseries is an established ecological concept accepted by scientists, conservation groups, managers, and the public and cited as justification for the protection and conservation of these areas. Nonetheless, the nursery-role concept has rarely been stated clearly, even in papers that purport to test it. This ambiguity hinders the effectiveness of the nursery-role concept as a tool for conservation and management. We seek to redress that ambiguity by briefly tracing the history of the concept, developing a clear hypothesis with testable predictions, and discussing how this work ",https://doi.org/10.1641/0006-3568(2001)051[0633:ticamo]2.0.co;2,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,breitburg2018,10.1126/science.aam7240,Breitburg,2018,Declining oxygen in the global ocean and coastal waters,"Oxygen is fundamental to life. Not only is it essential for the survival of individual animals, but it regulates global cycles of major nutrients and carbon. The oxygen content of the open ocean and coastal waters has been declining for at least the past half-century, largely because of human activities that have increased global temperatures and nutrients discharged to coastal waters. These changes have accelerated consumption of oxygen by microbial respiration, reduced solubility of oxygen in water, and reduced the rate of oxygen resupply from the atmosphere to the ocean interior, with a wide range of biological and ecological consequences. Further research is needed to understand and predict long-term, global- and regional-scale oxygen changes and their effects on marine and estuarine fisheries and ecosystems.",https://doi.org/10.1126/science.aam7240,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,fabricius2011,10.1038/nclimate1122,Fabricius,2011,Losers and winners in coral reefs acclimatized to elevated carbon dioxide concentrations,,https://doi.org/10.1038/nclimate1122,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,stuiver1998,10.1017/s0033822200019123,Stuiver,1998,"INTCAL98 Radiocarbon Age Calibration, 24,000–0 cal BP","The focus of this paper is the conversion of radiocarbon ages to calibrated (cal) ages for the interval 24,000–0 cal BP (Before Present, 0 cal BP = AD 1950), based upon a sample set of dendrochronologically dated tree rings, uranium-thorium dated corals, and varve-counted marine sediment. The 14 C age–cal age information, produced by many laboratories, is converted to Δ 14 C profiles and calibration curves, for the atmosphere as well as the oceans. We discuss offsets in measured l4 C ages and the errors therein, regional 14 C age differences, tree–coral 14 C age comparisons and the time dependence of marine reservoir ages, and evaluate decadal vs . single-year 14 C results. Changes in oceanic deepwater circulation, especially for the 16,000–11,000 cal BP interval, are reflected in the Δ 14 C values of INTCAL98.",https://doi.org/10.1017/s0033822200019123,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,coen2007,10.3354/meps341303,Coen,2007,Ecosystem services related to oyster restoration,"The importance of restoring filter-feeders, such as the Eastern oyster Crassostrea virginica, to mitigate the effects of eutrophication (e.g. in Chesapeake Bay) is currently under debate. The argument that bivalve molluscs alone cannot control phytoplankton blooms and reduce hypoxia oversimplifies a more complex issue, namely that ecosystem engineering species make manifold contributions to ecosystem services. Although further discussion and research leading to a more complete understanding is required, oysters and other molluscs (e.g. mussels) in estuarine ecosystems provide services far beyond the mere top-down control of phytoplankton blooms, such as (1) seston filtration, (2) benthic–pelagic coupling, (3) creation of refugia from predation, (4) creation of feeding habitat for juveniles and adults of mobile species, and for sessile stages of species that attach to molluscan shells, and (5) provision of nesting habitat.",https://doi.org/10.3354/meps341303,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,avio2015,10.1016/j.envpol.2014.12.021,Avio,2015,Pollutants bioavailability and toxicological risk from microplastics to marine mussels,,https://doi.org/10.1016/j.envpol.2014.12.021,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,torda2017,10.1038/nclimate3374,Torda,2017,Rapid adaptive responses to climate change in corals,,https://doi.org/10.1038/nclimate3374,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,poloczanska2013,10.1038/nclimate1958,Poloczanska,2013,Global imprint of climate change on marine life,"Research that combines all available studies of biological responses to regional and global climate change shows that 81–83% of all observations were consistent with the expected impacts of climate change. These findings were replicated across taxa and oceanic basins. Past meta-analyses of the response of marine organisms to climate change have examined a limited range of locations1,2, taxonomic groups2,3,4 and/or biological responses5,6. This has precluded a robust overview of the effect of climate change in the global ocean. Here, we synthesized all available studies of the consistency of marine ecological observations with expectations under climate change. This yielded a meta-database of 1,735 marine biological responses for which either regional or global climate change was considered as a driver. Included were instances of marine taxa responding as expected, in a manner inconsistent with expectations, and taxa demonstrating no response. From this database, 81–83% of all observations for distribution, phenology, community composition, abundance, demography and calcification across taxa and ocean basins were consistent with the expected impacts of climate change. Of the species",https://doi.org/10.1038/nclimate1958,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,sussarellu2016,10.1073/pnas.1519019113,Sussarellu,2016,Oyster reproduction is affected by exposure to polystyrene microplastics,"Plastics are persistent synthetic polymers that accumulate as waste in the marine environment. Microplastic (MP) particles are derived from the breakdown of larger debris or can enter the environment as microscopic fragments. Because filter-feeder organisms ingest MP while feeding, they are likely to be impacted by MP pollution. To assess the impact of polystyrene microspheres (micro-PS) on the physiology of the Pacific oyster, adult oysters were experimentally exposed to virgin micro-PS (2 and 6 µm in diameter; 0.023 mg·L(-1)) for 2 mo during a reproductive cycle. Effects were investigated on ecophysiological parameters; cellular, transcriptomic, and proteomic responses; fecundity; and offspring development. Oysters preferentially ingested the 6-µm micro-PS over the 2-µm-diameter particles. Consumption of microalgae and absorption efficiency were significantly higher in exposed oysters, suggesting compensatory and physical effects on both digestive parameters. After 2 mo, exposed oysters had significant decreases in oocyte number (-38%), diameter (-5%), and sperm velocity (-23%). The D-larval yield and larval development of offspring derived from exposed parents decreased by 41% a",https://doi.org/10.1073/pnas.1519019113,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,vaughn2018,10.1146/annurev-ecolsys-110617-062703,Vaughn,2018,Bivalve Impacts in Freshwater and Marine Ecosystems,"Bivalve molluscs are abundant in marine and freshwater ecosystems and perform important ecological functions. Bivalves have epifaunal or infaunal lifestyles but are largely filter feeders that couple the water column and benthos. Bivalve ecology is a large field of study, but few comparisons among aquatic ecosystems or lifestyles have been conducted. Bivalves impact nutrient cycling, create and modify habitat, and affect food webs directly (i.e., prey) and indirectly (i.e., movement of nutrients and energy). Materials accumulated in soft tissue and shells are used as environmental monitors. Freshwater mussel and oyster aggregations in rivers and estuaries are hot spots for biodiversity and biogeochemical transformations. Historically, human use includes food, tools, currency, and ornamentation. Bivalves provide direct benefits to modern cultures as food, building materials, and jewelry and provide indirect benefits by stabilizing shorelines and mitigating nutrient pollution. Research on bivalve-mediated ecological processes is diverse, and future synthesis will require collaboration across conventional disciplinary boundaries.",https://doi.org/10.1146/annurev-ecolsys-110617-062703,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
openalex,berkelmans2006,10.1098/rspb.2006.3567,Berkelmans,2006,The role of zooxanthellae in the thermal tolerance of corals: a ‘nugget of hope’ for coral reefs in an era of climate change,"The ability of coral reefs to survive the projected increases in temperature due to global warming will depend largely on the ability of corals to adapt or acclimatize to increased temperature extremes over the next few decades. Many coral species are highly sensitive to temperature stress and the number of stress (bleaching) episodes has increased in recent decades. We investigated the acclimatization potential of Acropora millepora, a common and widespread Indo-Pacific hard coral species, through transplantation and experimental manipulation. We show that adult corals, at least in some circumstances, are capable of acquiring increased thermal tolerance and that the increased tolerance is a direct result of a change in the symbiont type dominating their tissues from Symbiodinium type C to D. Our data suggest that the change in symbiont type in our experiment was due to a shuffling of existing types already present in coral tissues, not through exogenous uptake from the environment. The level of increased tolerance gained by the corals changing their dominant symbiont type to D (the most thermally resistant type known) is around 1-1.5 degrees C. This is the first study to show that",https://doi.org/10.1098/rspb.2006.3567,"(priming OR conditioning OR ""transgenerational plasticity"" OR ""carryover effect"" OR ""developmental programming"" OR hardening OR acclimatization OR ""parental effect"" OR ""epigenetic memory"" OR preconditioning OR ""transgenerational immune priming"") AND (marine OR ocean OR estuarine OR oyster OR mussel OR clam OR scallop OR coral OR abalone OR ""sea urchin"" OR bivalve OR mollusc)"
