record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
baker2008,10.1016/j.ecss.2008.09.003,Baker,2008,"Climate change and coral reef bleaching: An ecological assessment of long-term impacts, recovery trends and future outlook",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
schott2009,10.1029/2007rg000245,Schott,2009,Indian Ocean circulation and climate variability,openalex,exclude,not-marine,,auto-screen,priming language but not marine taxon
paulpont2016,10.1016/j.envpol.2016.06.039,Paul-Pont,2016,Exposure of marine mussels Mytilus spp. to polystyrene microplastics: Toxicity and influence on fluoranthene bioaccumulation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wang2017,10.1016/j.dci.2017.05.025,Wang,2017,The oyster immunity,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
palumbi2014,10.1126/science.1251336,Palumbi,2014,Mechanisms of reef coral resistance to future climate change,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
baker2004,10.1038/430741a,Baker,2004,Corals' adaptive response to climate change,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
miller2010,10.1371/journal.pone.0012576,Miller,2010,Evidence for a Novel Marine Harmful Algal Bloom: Cyanotoxin (Microcystin) Transfer from Land to Sea Otters,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
allam2015,10.1016/j.jip.2015.05.005,Allam,2015,Immune responses to infectious diseases in bivalves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
halpern2019,10.1038/s41598-019-47201-9,Halpern,2019,Recent pace of change in human impact on the world’s ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
beniash2010,10.3354/meps08841,Beniash,2010,Elevated level of carbon dioxide affects metabolism and shell formation in oysters Crassostrea virginica (Gmelin),openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
cloern2014,10.5194/bg-11-2477-2014,Cloern,2014,Phytoplankton primary production in the world's estuarine-coastal ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bayne1979,10.1098/rstb.1979.0046,Bayne,1979,Measurement of the responses of individuals to environmental stress and pollution: studies with bivalve molluscs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
