record_key,doi,first_author,year,title,source,decision,exclude_reason,maps_to_study_key,screened_by,notes
regnier2013,10.1038/ngeo1830,Regnier,2013,Anthropogenic perturbation of the carbon fluxes from land to ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
haley2004,10.1016/j.gca.2003.09.012,Haley,2004,Rare earth elements in pore waters of marine sediments,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
weatherall2015,10.1002/2015ea000107,Weatherall,2015,A new digital bathymetric model of the world's oceans,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
burke2006,10.1016/j.ydbio.2006.08.007,Burke,2006,A genomic view of the sea urchin nervous system,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bellantuono2012,10.1371/journal.pone.0050685,Bellantuono,2012,Coral Thermal Tolerance: Tuning Gene Expression to Resist Thermal Stress,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ettensohn1988,10.1016/0012-1606(88)90220-5,Ettensohn,1988,Cell lineage conversion in the sea urchin embryo,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wernberg2023,10.1146/annurev-marine-042023-093037,Wernberg,2023,Impacts of Climate Change on Marine Foundation Species,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bibby2008,10.3354/ab00037,Bibby,2008,Effects of ocean acidification on the immune response of the blue mussel Mytilus edulis,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kappes2011,10.1007/s00027-011-0187-6,Kappes,2011,"Slow, but steady: dispersal of freshwater molluscs",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
hall1978,10.1016/0092-8674(78)90003-x,Hall,1978,Hardening of the sea urchin fertilization envelope by peroxidase-catalyzed phenolic coupling of tyrosines,openalex,exclude,not-priming,,auto-screen,false-positive priming language
kurihara2007,10.3354/ab00009,Kurihara,2007,Effects of increased seawater pCO2 on early development of the oyster Crassostrea gigas,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
helms2008,10.4319/lo.2008.53.3.0955,Helms,2008,"Absorption spectral slopes and slope ratios as indicators of molecular weight, source, and photobleaching of chromophoric dissolved organic matter",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
haug1998,10.1038/31447,Haug,1998,Effect of the formation of the Isthmus of Panama on Atlantic Ocean thermohaline circulation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
malone2020,10.3389/fmars.2020.00670,Malone,2020,The Globalization of Cultural Eutrophication in the Coastal Ocean: Causes and Consequences,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
manabe1969,10.1175/1520-0493(1969)097<0739:catoc>2.3.co;2,Manabe,1969,CLIMATE AND THE OCEAN CIRCULATION<sup>1</sup>,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
munday2009,10.1007/s00338-008-0461-9,Munday,2009,Climate change and coral reef connectivity,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lorenzo2008,10.1029/2007gl032838,Lorenzo,2008,North Pacific Gyre Oscillation links ocean climate and ecosystem change,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
steneck1982,10.1007/bf00409596,Steneck,1982,Feeding capabilities and limitation of herbivorous molluscs: A functional group approach,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
cranford1999,10.3354/meps190223,Cranford,1999,Seasonal variation in food utilization by the suspension-feeding bivalve molluscs Mytilus edulis and Placopecten magellanicus,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
knowlton2001,10.1073/pnas.091092998,Knowlton­,2001,The future of coral reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sandin2008,10.1371/journal.pone.0001548,Sandin,2008,Baselines and Degradation of Coral Reefs in the Northern Line Islands,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
mcwilliams2016,10.1098/rspa.2016.0117,McWilliams,2016,Submesoscale currents in the ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
baird1958,10.1093/icesjms/23.2.249,Baird,1958,Measurement of Condition in Mussels and Oysters,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
grottoli2014,10.1111/gcb.12658,Grottoli,2014,The cumulative impact of annual coral bleaching can turn some coral species winners into losers,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
apraiz2006,10.1074/mcp.m500333-mcp200,Apraiz,2006,Identification of Proteomic Signatures of Exposure to Marine Pollutants in Mussels (Mytilus edulis),openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lannig2006,10.1016/j.aquatox.2006.06.017,Lannig,2006,"Temperature-dependent stress response in oysters, Crassostrea virginica: Pollution reduces temperature tolerance in oysters",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
fraser1989,10.1139/f89-235,Fraser,1989,"Triacylglycerol Content as a Condition Index for Fish, Bivalve, and Crustacean Larvae",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kaiser2006,10.3354/meps311001,Kaiser,2006,Global analysis of response and recovery of benthic biota to fishing,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
mackie1991,10.1007/978-94-011-3144-5_15,Mackie,1991,"Biology of the exotic zebra mussel, Dreissena polymorpha, in relation to native bivalves and its potential impact in Lake St. Clair",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
holbrook2020,10.1038/s43017-020-0068-4,Holbrook,2020,Keeping pace with marine heatwaves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wilson2015,10.1038/nature14986,Wilson,2015,A marine biogenic source of atmospheric ice-nucleating particles,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
botterell2018,10.1016/j.envpol.2018.10.065,Botterell,2018,Bioavailability and effects of microplastics on marine zooplankton: A review,openalex,exclude,review,,auto-screen,title indicates review/perspective
isobe2019,10.1038/s41467-019-08316-9,Isobe,2019,Abundance of non-conservative microplastics in the upper ocean from 1957 to 2066,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ribeiro2023,10.1016/j.scitotenv.2023.162468,Ribeiro,2023,Oysters and mussels as equivalent sentinels of microplastics and natural particles in coastal environments,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
stoddard2006,10.1890/1051-0761(2006)016[1267:seftec]2.0.co;2,Stoddard,2006,SETTING EXPECTATIONS FOR THE ECOLOGICAL CONDITION OF STREAMS: THE CONCEPT OF REFERENCE CONDITION,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
shi2016,10.1038/srep20197,Shi,2016,Ocean acidification increases cadmium accumulation in marine bivalves: a potential threat to seafood safety,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
okazaki1975,10.1093/icb/15.3.567,Okazaki,1975,Spicule Formation by Isolated Micromeres of the Sea Urchin Embryo,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ipcc2022,10.1017/9781009157964.007,(IPCC),2022,"Changing Ocean, Marine Ecosystems, and Dependent Communities",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
miya2015,10.1098/rsos.150088,Miya,2015,"MiFish, a set of universal PCR primers for metabarcoding environmental DNA from fishes: detection of more than 230 subtropical marine species",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
espinosa2011,10.1038/ncomms1172,Espinosa,2011,Tablet-level origin of toughening in abalone shells and translation to synthetic composite materials,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kelly2013,10.1111/gcb.12251,Kelly,2013,Natural variation and the capacity to adapt to ocean acidification in the keystone sea urchin <i><scp>S</scp>trongylocentrotus purpuratus</i>,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
miller2012,10.1038/nclimate1599,Miller,2012,Parental environment mediates impacts of increased carbon dioxide on a coral reef fish,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
zenger2019,10.3389/fgene.2018.00693,Zenger,2019,"Genomic Selection in Aquaculture: Application, Limitations and Opportunities With Special Reference to Marine Shrimp and Pearl Oysters",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pomeroy2001,10.3354/ame023187,Pomeroy,2001,Temperature and substrates as interactive limiting factors for marine heterotrophic bacteria,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
zhang2015,10.1146/annurev-animal-022114-110903,Zhang,2015,Molecular Basis for Adaptation of Oysters to Stressful Marine Intertidal Environments,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
takahashi1993,10.1029/93gb02263,Takahashi,1993,Seasonal variation of CO <sub>2</sub> and nutrients in the high‐latitude surface oceans: A comparative study,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
buck2017,10.1007/978-3-319-51159-7,Buck,2017,Aquaculture Perspective of Multi-Use Sites in the Open Ocean,openalex,exclude,review,,auto-screen,title indicates review/perspective
howells2013,10.1890/12-1257.1,Howells,2013,Historical thermal regimes define limits to coral acclimatization,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
todd2019,10.1111/oik.05946,Todd,2019,"Towards an urban marine ecology: characterizing the drivers, patterns and processes of marine ecosystems in coastal cities",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
syvitski2006,10.1086/509246,Syvitski,2006,"Geology, Geography, and Humans Battle for Dominance over the Delivery of Fluvial Sediment to the Coastal Ocean",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ellis2002,10.1016/s0022-0981(01)00355-0,Ellis,2002,"Determining effects of suspended sediment on condition of a suspension feeding bivalve (Atrina zelandica): results of a survey, a laboratory experiment and a field transplant experiment",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
laws2000,10.1029/1999gb001229,Laws,2000,Temperature effects on export production in the open ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ziegler2017,10.1038/ncomms14213,Ziegler,2017,Bacterial community dynamics are linked to patterns of coral heat tolerance,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lowe2014,10.1146/annurev-marine-010814-015834,Lowe,2014,Oceanic Forcing of Coral Reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
veron2009,10.1016/j.marpolbul.2009.09.009,Veron,2009,The coral reef crisis: The critical importance of&lt;350ppm CO2,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
peixoto2017,10.3389/fmicb.2017.00341,Peixoto,2017,Beneficial Microorganisms for Corals (BMC): Proposed Mechanisms for Coral Health and Resilience,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
selig2010,10.1371/journal.pone.0009278,Selig,2010,A Global Analysis of the Effectiveness of Marine Protected Areas in Preventing Coral Loss,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
berdalet2015,10.1017/s0025315415001733,Berdalet,2015,"Marine harmful algal blooms, human health and wellbeing: challenges and opportunities in the 21st century",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
masanja2023,10.3389/fmars.2023.1159261,Masanja,2023,Impacts of marine heat extremes on bivalves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
hunt1997,10.3354/meps155269,Hunt,1997,Role of early post-settlement mortality in recruitment of benthic marine invertebrates,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
sousa2008,10.1051/limn:2008017,Sousa,2008,"Ecology of the invasive Asian clam Corbicula fluminea (Müller, 1774) in aquatic ecosystems: an overview",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
callow2011,10.1038/ncomms1251,Callow,2011,Trends in the development of environmentally friendly fouling-resistant marine coatings,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
calder2014,10.1016/j.bbalip.2014.08.010,Calder,2014,"Marine omega-3 fatty acids and inflammatory processes: Effects, mechanisms and clinical relevance",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
marshall2008,10.1890/07-0449.1,Marshall,2008,TRANSGENERATIONAL PLASTICITY IN THE SEA: CONTEXT-DEPENDENT MATERNAL EFFECTS ACROSS THE LIFE HISTORY,openalex,include,,marshall2008,human-review,marine invertebrate TGP maternal effects across life history
schaefer1991,10.1016/s0092-8240(05)80049-7,Schaefer,1991,Some aspects of the dynamics of populations important to the management of the commercial marine fisheries,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
scyphers2011,10.1371/journal.pone.0022396,Scyphers,2011,Oyster Reefs as Natural Breakwaters Mitigate Shoreline Loss and Facilitate Fisheries,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
crook2013,10.1073/pnas.1301589110,Crook,2013,Reduced calcification and lack of acclimatization by coral colonies growing in areas of persistent natural acidification,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ferguson1994,10.3168/jds.s0022-0302(94)77212-x,Ferguson,1994,Principal Descriptors of Body Condition Score in Holstein Cows,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
fulton2001,10.1002/etc.5620200104,Fulton,2001,Acetylcholinesterase inhibition in estuarine fish and invertebrates as an indicator of organophosphorus insecticide exposure and effects,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
leo2018,10.3390/md16030081,Leão,2018,Preliminary Results on the Evaluation of the Occurrence of Tetrodotoxin Associated to Marine Vibrio spp. in Bivalves from the Galician Rias (Northwest of Spain),openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pespeni2013,10.1073/pnas.1220673110,Pespeni,2013,Evolutionary change during experimental ocean acidification,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
munday2014,10.12703/p6-99,Munday,2014,Transgenerational acclimation of fishes to climate change and ocean acidification,openalex,exclude,not-marine,,auto-screen,priming language but not marine taxon
hennige2015,10.1098/rspb.2015.0990,Hennige,2015,Hidden impacts of ocean acidification to live and dead coral framework,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
oliver2011,10.1007/s00338-011-0721-y,Oliver,2011,Do fluctuating temperature environments elevate coral thermal tolerance?,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
matozzo2012,10.1371/journal.pone.0033820,Matozzo,2012,First Evidence of Immunomodulation in Bivalves under Seawater Acidification and Increased Temperature,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
solomieu2015,10.1016/j.jip.2015.07.011,Solomieu,2015,"Mass mortality in bivalves and the intricate case of the Pacific oyster, Crassostrea gigas",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ferrario2014,10.1038/ncomms4794,Ferrario,2014,The effectiveness of coral reefs for coastal hazard risk reduction and adaptation,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
shirayama2005,10.1029/2004jc002618,Shirayama,2005,Effect of increased atmospheric CO<sub>2</sub> on shallow water marine benthos,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
thomsen2010,10.5194/bg-7-3879-2010,Thomsen,2010,Calcifying invertebrates succeed in a naturally CO <sub>2</sub> -rich coastal habitat but are threatened by high levels of future acidification,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
foo2016,10.1016/bs.amb.2016.06.001,Foo,2016,Acclimatization and Adaptive Capacity of Marine Species in a Changing Ocean,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
whiteley2011,10.3354/meps09185,Whiteley,2011,Physiological and ecological responses of crustaceans to ocean acidification,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
oliver2019,10.3389/fmars.2019.00734,Oliver,2019,Projected Marine Heatwaves in the 21st Century and the Potential for Ecological Impact,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pinto2008,10.1016/j.ecolind.2008.01.005,Pinto,2008,Review and evaluation of estuarine biotic indices to assess benthic condition,openalex,exclude,review,,auto-screen,title indicates review/perspective
aguilera2014,10.1016/j.actbio.2014.03.031,Aguilera,2014,Evolution of the tyrosinase gene family in bivalve molluscs: Independent expansion of the mantle gene repertoire,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
dijkstra2013,10.3389/fmicb.2013.00216,Dijkstra,2013,Rhizosphere priming: a nutrient perspective,openalex,exclude,review,,auto-screen,title indicates review/perspective
wahl1989,10.3354/meps058175,Wahl,1989,Marine epibiosis. I. Fouling and antifouling: some basic aspects,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
s1997,10.5860/choice.35-0276,S.,1997,The Eastern oyster: Crassostrea virginica,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
costa2012,10.1016/j.aquatox.2012.08.013,Costa,2012,Development of histopathological indices in a commercial marine bivalve (Ruditapes decussatus) to determine environmental quality,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kroeker2014,10.1086/bblv226n3p211,Kroeker,2014,Predicting the Effects of Ocean Acidification on Predator-Prey Interactions: A Conceptual Framework Based on Coastal Molluscs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
ballina2022,10.3389/fimmu.2022.826255,Ballina,2022,Bivalve Haemocyte Subpopulations: A Review,openalex,exclude,review,,auto-screen,title indicates review/perspective
carilli2009,10.1371/journal.pone.0006324,Carilli,2009,Local Stressors Reduce Coral Resilience to Bleaching,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
gworek2016,10.1007/s11270-016-3060-3,Gworek,2016,Mercury in Marine and Oceanic Waters—a Review,openalex,exclude,review,,auto-screen,title indicates review/perspective
bennett2015,10.1016/j.marpol.2015.03.026,Bennett,2015,Ocean grabbing,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
schikorski2010,10.1016/j.virusres.2010.07.031,Schikorski,2010,Experimental ostreid herpesvirus 1 infection of the Pacific oyster Crassostrea gigas: Kinetics of virus DNA detection by q-PCR in seawater and in oyster samples,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
gerdol2015,10.1016/j.fsi.2015.02.013,Gerdol,2015,An updated molecular basis for mussel immunity,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
loeb1975,10.1021/ba-1975-0145.ch016,Loeb,1975,Marine Conditioning Films,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pita2018,10.1186/s40168-018-0428-1,Pita,2018,The sponge holobiont in a changing ocean: from microbes to ecosystems,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
parker2015,10.1371/journal.pone.0132276,Parker,2015,"Persistence of Positive Carryover Effects in the Oyster, Saccostrea glomerata, following Transgenerational Exposure to Ocean Acidification",openalex,include,,parker2015,auto-screen,auto: strong priming/TGP title + marine + experimental cues
putnam2021,10.1242/jeb.239319,Putnam,2021,Avenues of reef-building coral acclimatization in response to rapid environmental change,openalex,exclude,review,,human-review,avenues/framework piece on coral acclimatization; not a primary conditioning experiment
madin2016,10.1038/sdata.2016.17,Madin,2016,"The Coral Trait Database, a curated database of trait information for coral species from the global oceans",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
dubert2017,10.3389/fmicb.2017.00762,Dubert,2017,New Insights into Pathogenic Vibrios Affecting Bivalves in Hatcheries: Present and Future Prospects,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
wolff2005,NR,Wolff,2005,Non-indigenous marine and estuarine species in The Netherlands,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
dauer1993,10.1016/0025-326x(93)90063-p,Dauer,1993,"Biological criteria, environmental health and estuarine macrobenthic community structure",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
griffith2017,10.1038/s41598-017-11442-3,Griffith,2017,Transgenerational exposure of North Atlantic bivalves to ocean acidification renders offspring more vulnerable to low pH and additional stressors,openalex,include,,griffith2017,auto-screen,auto: strong priming/TGP title + marine + experimental cues
oppen2019,10.1038/s41579-019-0223-4,Oppen,2019,"Coral microbiome dynamics, functions and design in a changing world",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
jones2010,10.1371/journal.pone.0010437,Jones,2010,Potential Costs of Acclimatization to a Warmer Climate: Growth of a Reef Coral with Heat Tolerant vs. Sensitive Symbiont Types,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
byrne2001,10.1007/978-94-010-0434-3_21,Byrne,2001,The role of bivalve molluscs as tools in estuarine sediment toxicity testing: a review,openalex,exclude,review,,auto-screen,title indicates review/perspective
cinner2016,10.1038/nature18607,Cinner,2016,Bright spots among the world’s coral reefs,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
engle1994,10.2307/1352670,Engle,1994,A Benthic Index of Environmental Condition of Gulf of Mexico Estuaries,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
forooshani2016,10.1002/pola.28368,Forooshani,2016,Recent approaches in designing bioadhesive materials inspired by mussel adhesive protein,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
comeau2019,10.1038/s41558-019-0486-9,Comeau,2019,Resistance to ocean acidification in coral reef taxa is not gained by acclimatization,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bellantuono2011,10.1098/rspb.2011.1780,Bellantuono,2011,Resistance to thermal stress in corals without changes in symbiont composition,openalex,include,,bellantuono2011,human-review,coral thermal preconditioning / acquired thermal resistance without symbiont shift
lokmer2014,10.1038/ismej.2014.160,Lokmer,2014,"Hemolymph microbiome of Pacific oysters in response to temperature, temperature stress and infection",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
rodil2019,10.1016/j.envint.2019.05.018,Rodil,2019,Legacy and emerging pollutants in marine bivalves from the Galician coast (NW Spain),openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
murray2014,10.3354/meps10791,Murray,2014,Offspring sensitivity to ocean acidification changes seasonally in a coastal marine fish,openalex,exclude,not-priming,,human-review,seasonal natural parental environment + offspring assays; not a deliberate parental conditioning manipulation
erftemeijer2012,10.1016/j.marpolbul.2012.05.008,Erftemeijer,2012,Environmental impacts of dredging and other sediment disturbances on corals: A review,openalex,exclude,review,,auto-screen,title indicates review/perspective
katzschmann2018,10.1126/scirobotics.aar3449,Katzschmann,2018,Exploration of underwater life with an acoustically controlled soft robotic fish,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
stanley1998,10.1016/s0031-0182(98)00109-6,Stanley,1998,Secular oscillations in the carbonate mineralogy of reef-building and sediment-producing organisms driven by tectonically forced shifts in seawater chemistry,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
baird2009,10.1146/annurev.ecolsys.110308.120220,Baird,2009,Systematic and Biogeographical Patterns in the Reproductive Biology of Scleractinian Corals,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
cummings2011,10.1371/journal.pone.0016069,Cummings,2011,Ocean Acidification at High Latitudes: Potential Effects on Functioning of the Antarctic Bivalve Laternula elliptica,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
quinn1993,10.1093/icb/33.6.537,Quinn,1993,"Harvest Refugia in Marine Invertebrate Fisheries: Models and Applications to the Red Sea Urchin,<i>Strongylocentrotus franciscanus</i>",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
lea2015,10.1038/srep11202,Lea,2015,"Repeated, long-distance migrations by a philopatric predator targeting highly contrasting ecosystems",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
guenet2010,10.1890/09-1968.1,Guenet,2010,Priming effect: bridging the gap between terrestrial and aquatic ecology,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
hummel1997,10.1016/s0166-445x(96)00832-6,Hummel,1997,A comparative study on the relation between copper and condition in marine bivalves and the relation with copper in the sediment,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
powell2018,10.1093/dnares/dsy032,Powell,2018,The genome of the oyster<i>Saccostrea</i>offers insight into the environmental resilience of bivalves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
martin2019,10.1016/j.envpol.2019.113281,Martin,2019,Adhesion to coral surface as a potential sink for marine microplastics,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
beaumont2019,10.1016/j.marpolbul.2019.03.022,Beaumont,2019,"Global ecological, social and economic impacts of marine plastic",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
mellin2016,10.1111/ele.12598,Mellin,2016,Marine protected areas increase resilience among coral reef communities,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
bostrmeinarsson2020,10.1371/journal.pone.0226631,Boström‐Einarsson,2020,"Coral restoration – A systematic review of current methods, successes, failures and future directions",openalex,exclude,review,,auto-screen,title indicates review/perspective
clark2020,10.1242/jeb.206961,Clark,2020,Molecular mechanisms of biomineralization in marine invertebrates,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
khn2015,10.1007/978-3-319-16510-3_4,Kühn,2015,Deleterious Effects of Litter on Marine Life,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
nakamura2011,10.1371/journal.pone.0014521,Nakamura,2011,"Coral Larvae under Ocean Acidification: Survival, Metabolism, and Metamorphosis",openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
kim2014,10.1021/bm4017308,Kim,2014,Mussel-Mimetic Protein-Based Adhesive Hydrogel,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
pechenik1999,10.3354/meps177269,Pechenik,1999,On the advantages and disadvantages of larval stages in benthic marine invertebrate life cycles,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
offret2020,10.1093/femsec/fiaa078,Offret,2020,The marine intertidal zone shapes oyster and clam digestive bacterial microbiota,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
cabral2019,10.3390/ijerph16152737,Cabral,2019,Synergistic Effects of Climate Change and Marine Pollution: An Overlooked Interaction in Coastal and Estuarine Areas,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
nascimentoschulze2021,10.1111/raq.12568,Nascimento‐Schulze,2021,Optimizing hatchery practices for genetic improvement of marine bivalves,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
mcmanus2004,10.1016/j.pocean.2004.02.014,McManus,2004,Coral–algal phase shifts on coral reefs: Ecological and environmental aspects,openalex,exclude,not-priming,,auto-screen,no priming/TGP/carryover/parental-effect language
